"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
11,"1","37","79",".468","7","16",".438","17","29",".586","11","34","45","22","8","7","15","21"
11,"2","33","77",".429","6","16",".375","33","43",".767","12","29","41","22","8","8","14","33"
11,"3","41","73",".562","4","12",".333","31","42",".738","8","35","43","23","12","11","15","20"
11,"4","35","68",".515","2","11",".182","28","42",".667","5","25","30","22","14","8","18","30"
11,"5","45","88",".511","7","16",".438","13","19",".684","12","35","47","30","12","10","19","18"
11,"6","37","82",".451","4","17",".235","30","47",".638","17","38","55","23","8","9","14","29"
11,"7","41","92",".446","4","15",".267","12","18",".667","14","28","42","18","9","5","7","21"
11,"8","30","74",".405","6","22",".273","17","30",".567","13","23","36","14","7","5","15","19"
11,"9","36","90",".400","3","16",".188","18","24",".750","19","34","53","24","8","4","12","22"
11,"10","36","81",".444","6","13",".462","20","33",".606","10","29","39","27","8","10","14","21"
11,"11","35","74",".473","7","12",".583","12","25",".480","17","42","59","27","6","6","14","15"
11,"12","41","77",".532","2","8",".250","22","25",".880","12","27","39","20","10","8","17","24"
11,"13","41","78",".526","10","19",".526","13","24",".542","11","24","35","27","6","9","11","11"
11,"14","37","90",".411","10","31",".323","20","31",".645","24","33","57","22","5","12","9","16"
11,"15","41","81",".506","5","13",".385","20","27",".741","11","27","38","23","7","6","7","23"
11,"16","38","90",".422","8","23",".348","18","21",".857","8","36","44","25","12","10","9","14"
11,"17","37","87",".425","3","18",".167","21","39",".538","17","35","52","23","7","6","12","22"
11,"18","36","90",".400","4","19",".211","15","24",".625","16","33","49","18","6","5","9","28"
11,"19","40","91",".440","4","20",".200","9","21",".429","17","27","44","24","7","9","10","25"
11,"20","43","88",".489","2","9",".222","22","28",".786","12","43","55","24","10","6","10","27"
11,"21","38","80",".475","3","16",".188","22","32",".688","9","33","42","25","8","5","10","25"
11,"22","39","89",".438","12","20",".600","17","23",".739","18","35","53","22","3","9","12","21"
11,"23","45","94",".479","5","21",".238","13","18",".722","19","29","48","32","2","6","15","26"
