"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
10,"1","38","80",".475","2","4",".500","24","29",".828","16","28","44","29","5","1","20","24"
10,"2","37","75",".493","2","3",".667","34","42",".810","13","32","45","22","15","3","25","22"
10,"3","53","95",".558","2","4",".500","30","40",".750","14","36","50","40","9","10","14","23"
10,"4","46","92",".500","1","2",".500","18","21",".857","9","33","42","36","18","5","15","19"
10,"5","43","91",".473","2","5",".400","34","44",".773","16","34","50","26","12","7","14","24"
10,"6","43","87",".494","3","8",".375","24","33",".727","12","28","40","35","12","10","16","27"
10,"7","42","82",".512","3","3","1.000","27","33",".818","13","28","41","22","7","2","19","17"
10,"8","47","90",".522","5","6",".833","18","27",".667","14","35","49","31","9","3","22","24"
10,"9","49","98",".500","2","6",".333","11","16",".688","12","40","52","39","10","10","13","24"
10,"10","47","79",".595","3","6",".500","30","36",".833","10","26","36","36","10","1","14","25"
10,"11","41","91",".451","1","9",".111","24","29",".828","13","22","35","33","10","3","13","32"
10,"12","51","84",".607","1","2",".500","23","33",".697","11","35","46","36","16","5","20","31"
10,"13","40","86",".465","2","4",".500","28","33",".848","10","29","39","21","8","6","14","21"
10,"14","55","89",".618","1","1","1.000","26","33",".788","15","37","52","44","13","8","27","24"
10,"15","39","82",".476","3","8",".375","25","37",".676","15","31","46","20","9","5","21","19"
10,"16","42","86",".488","4","9",".444","24","32",".750","15","32","47","31","6","9","20","22"
10,"17","51","97",".526","7","10",".700","23","29",".793","16","29","45","37","18","7","15","19"
10,"18","45","85",".529","1","3",".333","22","29",".759","15","34","49","28","14","3","17","23"
10,"19","38","80",".475","4","8",".500","13","22",".591","12","21","33","25","11","5","23","26"
10,"20","51","99",".515","2","7",".286","13","18",".722","10","28","38","22","5","2","6","11"
10,"21","46","104",".442","1","9",".111","21","23",".913","15","31","46","23","7","3","9","18"
10,"22","50","91",".549","1","5",".200","20","28",".714","13","32","45","26","11","5","14","22"
10,"23","54","95",".568","1","7",".143","22","29",".759","11","32","43","41","12","8","16","24"
10,"24","42","87",".483","1","10",".100","34","41",".829","14","35","49","21","6","9","18","28"
