"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
13,"1","43","79",".544","8","16",".500","26","32",".813","5","31","36","25","8","5","8","20"
13,"2","33","71",".465","7","20",".350","11","13",".846","7","34","41","18","4","5","21","18"
13,"3","43","83",".518","10","25",".400","23","27",".852","7","25","32","26","9","8","8","16"
13,"4","47","86",".547","15","26",".577","15","19",".789","7","42","49","33","7","4","15","22"
13,"5","40","77",".519","10","24",".417","13","16",".813","8","32","40","25","8","5","12","18"
13,"6","37","76",".487","7","22",".318","14","16",".875","8","28","36","22","8","2","14","22"
13,"7","30","79",".380","4","15",".267","22","36",".611","15","28","43","18","8","6","13","16"
13,"8","45","89",".506","10","21",".476","13","20",".650","13","31","44","26","4","4","11","24"
13,"9","35","77",".455","9","21",".429","21","29",".724","11","25","36","22","11","6","19","25"
13,"10","36","77",".468","13","27",".481","13","16",".813","5","24","29","24","5","9","11","14"
13,"11","38","71",".535","8","19",".421","13","19",".684","4","32","36","20","10","3","19","21"
13,"12","41","86",".477","8","18",".444","23","33",".697","12","42","54","25","7","4","15","13"
13,"13","36","69",".522","9","19",".474","29","37",".784","9","30","39","21","5","5","18","25"
13,"14","42","86",".488","5","13",".385","16","19",".842","7","30","37","22","11","2","10","18"
13,"15","40","78",".513","7","20",".350","15","19",".789","8","27","35","20","12","3","10","25"
13,"16","41","89",".461","8","28",".286","11","16",".688","12","31","43","27","6","2","12","20"
13,"17","32","76",".421","6","16",".375","22","28",".786","7","36","43","17","7","4","14","21"
13,"18","40","69",".580","7","11",".636","19","24",".792","2","31","33","23","12","7","16","18"
13,"19","39","67",".582","9","21",".429","14","22",".636","2","30","32","23","10","3","14","18"
13,"20","38","80",".475","7","22",".318","12","15",".800","6","32","38","18","6","3","17","13"
13,"21","40","79",".506","8","27",".296","14","21",".667","11","32","43","25","9","2","12","15"
13,"22","36","77",".468","13","25",".520","18","23",".783","6","18","24","25","12","14","8","18"
13,"23","42","78",".538","10","28",".357","16","18",".889","8","39","47","25","8","4","18","14"
13,"24","38","73",".521","11","24",".458","18","22",".818","6","33","39","23","12","5","16","19"
13,"25","38","80",".475","8","28",".286","19","19","1.000","9","25","34","20","6","5","13","26"
13,"26","37","81",".457","12","23",".522","19","25",".760","9","35","44","21","9","5","13","25"
13,"27","39","77",".506","9","29",".310","12","16",".750","10","25","35","18","6","5","14","16"
13,"28","33","76",".434","4","13",".308","15","24",".625","13","38","51","18","3","5","20","17"
13,"29","40","85",".471","6","21",".286","26","35",".743","9","24","33","24","9","3","7","17"
13,"30","42","89",".472","10","26",".385","25","31",".806","7","39","46","21","12","8","9","16"
13,"31","30","65",".462","5","20",".250","24","31",".774","4","24","28","17","8","2","12","22"
13,"32","38","82",".463","8","21",".381","15","16",".938","10","40","50","20","6","8","9","12"
13,"33","28","68",".412","8","19",".421","13","18",".722","7","29","36","13","5","10","14","21"
